Hotel Name,Brand,City,Country,Price Range,TripAdvisor Rating,Star Rating,Total Rooms,Room Tips,Amenities,Main Image URL
Le Meridien Barcelona,,Barcelona,Spain,$323 - $536,4.5,5.0,231,"Leave the hotel early or evening. You'll avoid the crowds on Las Ramblas and you'll get to attractions when them first open. Same with Gothic Quarter.; We came by taxi from the airport. The front desk is very knowledgeable and helped us with transportation to the cruise terminal.; Be protective of your valuables when walking around Barcelona, particularly in crowded places like La Rambla.; Get rooom away from the street.; There is no pool :( For the price I thought there would be a pool.","Pets Allowed,Paid Internet,Family Rooms,Rooftop Terrace,Private Balcony,Electric vehicle charging station,Couples Massage,Steam Room,Restaurant,Room service,Meeting rooms,Wheelchair access,Business center,Fitness center,Internet,Free Internet,Spa,Wifi,Free Wifi,Concierge,Suites,Public Wifi,Bar/Lounge,Non-smoking rooms,Dry Cleaning,Laundry Service,Multilingual Staff,Airport transportation,Air conditioning,Accessible rooms,Minibar,Conference Facilities,Non-smoking hotel,Safe,Flatscreen TV,Breakfast Buffet,Parking,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Bath / Shower,Blackout Curtains,Bottled Water,Breakfast in the Room,Complimentary Instant Cofffee,24-Hour Front Desk,Full Body Massage,Ironing Service,Massage,Taxi Service,Banquet Room,Breakfast Available,Arabic,Bathrobes,Bicycle Rental,Body Wrap,Cable / Satellite TV,Car Hire,Catalan,24-Hour Check-in,Coffee Shop,Coffee / Tea Maker,Desk,Doorperson,English,Facial Treatments,First Aid Kit,Foot Massage,Complimentary Toiletries,Free Wifi in the Business Center,French,German,Hair Dryer,Hand Massage,Head Massage,Highchairs Available,Interconnected room(s) available,Iron,Italian,Kids' Meals,Kid-Friendly Buffet,Neck Massage,Newspaper,On-Demand Movies,Plunge Pool,Portuguese,Private Bathrooms,Paid Private Parking On-site,Paid Public Parking Nearby,Russian,24-Hour Security,Snack Bar,Sofa Bed,Solarium,Soundproof Rooms,Spanish,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Telephone,Umbrella,Valet Parking,VIP Room Facilities,Wake Up Service / Alarm Clock,Wardrobe / Closet,Wine / Champagne,Beach Access",
Hotel Arts Barcelona,,Barcelona,Spain,$367 - $663,4.5,5.0,483,"Suite 3316; Go for a club level room.; Don’t stay on the 2nd floor 
Don’t have high expectations 
Don’t go in busy periods; Book/ask for a high floor with a good view.; There are plenty of hotels in Barcelona where the staff aren’t thieves.","Pool,Room service,Restaurant,Fitness center,Bar/Lounge,Wheelchair access,Spa,Suites,Meeting rooms,Internet,Wifi,Paid Wifi,Paid Internet,Concierge,Free Internet,Airport transportation,Public Wifi,Dry Cleaning,Non-smoking rooms,Laundry Service,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Non-smoking hotel,Safe,Flatscreen TV,Breakfast Buffet,Poolside Bar,Butler Service,Adult pool,Outdoor pool,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,Additional Bathroom,Baggage Storage,Bath / Shower,Bathrobes,Bottled Water,Breakfast in the Room,Catalan,Currency Exchange,Doorperson,English,Facial Treatments,Fitness / Spa Locker Rooms,Complimentary Toiletries,French,24-Hour Front Desk,Hair Dryer,Head Massage,Ironing Service,Italian,Massage,Pool / Beach Towels,Pool with View,Paid Private Parking On-site,Salon,24-Hour Security,Spanish,Steam Room,Sun Loungers / Beach Chairs,Taxi Service,Telephone,Valet Parking,VIP Room Facilities,Wake Up Service / Alarm Clock,Breakfast Available,Arabic,Blackout Curtains,Car Hire,Desk,Evening Entertainment,German,Interconnected room(s) available,Iron,Laptop Safe,Manicure,Pool View,Portuguese,Private Bathrooms,Walk-in Shower,Beach Access",
Alma Barcelona,,Barcelona,Spain,$393 - $607,5,5.0,72,"Be sure to make arrangements for a cab. The city cab drivers wiz by. The aid of an Alma staff member was uber helpful (no pun intended.); It was exceptional. Nothing could have been done better. ; Luxury shopping and many Michelin starred restaurants in the area.; Make sure to book the spa so they turn on the sauna and steam room, it only takes 30 mins to heat if you forget though.; Book a room overlooking the garden. ","Free Internet,Free Wifi,Suites,Room service,Wheelchair access,Restaurant,Bar/Lounge,Airport transportation,Dry Cleaning,Meeting rooms,Non-smoking rooms,Fitness center,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Safe,Heated pool,Flatscreen TV,Breakfast Buffet,Indoor pool,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Bottled Water,Breakfast in the Room,Catalan,24-Hour Check-in,Doorperson,English,Complimentary Toiletries,French,24-Hour Front Desk,Hair Dryer,Ironing Service,Italian,24-Hour Security,Special Diet Menus,Sun Terrace,Taxi Service,Wake Up Service / Alarm Clock,Conference Facilities,Allergy-free Room,Cable / Satellite TV,Couples Massage,Currency Exchange,Desk,Facial Treatments,Fitness / Spa Locker Rooms,Foot Massage,Full Body Massage,Hammam,Hand Massage,Head Massage,Interconnected room(s) available,Neck Massage,Newspaper,Personal Trainer,Shoeshine,Soundproof Rooms,Spanish,Steam Room,Telephone,Umbrella,Valet Parking,Walk-in Shower,Wardrobe / Closet",
Ohla Eixample,,Barcelona,Spain,$264 - $438,4.5,5.0,94,"Grab snacks if you like to graze not a lot of options in the hotel but very close to several Mercats by the hotel.; We really like staying in the Eixample  area, although many people prefer being in the hubbub of the old city. Quiet & great restaurants!; Everything was amazing in this hotel ; Make use of the excellent metro system.  Well connected, easy to navigate and reasonably priced with options for single day to multiple days and unlimited use. ; Request room with view","Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Airport transportation,Wifi,Public Wifi,Free Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Conference Facilities,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Infinity Pool,Outdoor pool,Breakfast Available,Housekeeping,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Bottled Water,Breakfast in the Room,Catalan,Coffee / Tea Maker,Complimentary Tea,English,Complimentary Instant Cofffee,24-Hour Front Desk,24-Hour Security,Heated pool,Bicycle Rental,Cable / Satellite TV,Car Hire,24-Hour Check-in,Children's Television Networks,Clothes Rack,Coffee Shop,Couples Massage,Currency Exchange,Desk,Electric Kettle,Facial Treatments,Fitness / Spa Locker Rooms,Foot Massage,Complimentary Toiletries,Complimentary Welcome Drink,Free Wifi in the Business Center,Free Wired Internet in the Business Center,French,Full Body Massage,Hair Dryer,Hand Massage,Head Massage,Highchairs Available,Iron,Ironing Service,Italian,Laptop Safe,Makeup Services,Manicure,Massage,Neck Massage,Outdoor Furniture,Pedicure,Personal Trainer,Pool / Beach Towels,Pool with View,Private Bathrooms,Paid Private Parking On-site,Paid Private Parking Nearby,Secured Parking,Shallow End,Shoeshine,Snack Bar,Soundproof Rooms,Spanish,Special Diet Menus,Sun Deck,Sun Terrace,Taxi Service,Telephone,Umbrella,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet",
The Level at Melia Barcelona Sky,,Barcelona,Spain,$233 - $372,4.5,5.0,99,"Pool closes early at 8 pm.  Around 7 pm no more towels. Plan for them before.; Request access to lounge, or purchase access, worth every penny; If you're into views go for the rooms with the views; The city view rooms have a great view!; High floors offer great views of the city or the sea.","Internet,Free Internet,Wifi,Free Wifi,Pool,Room service,Wheelchair access,Restaurant,Bar/Lounge,Spa,Fitness center,Suites,Breakfast included,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Business center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Minibar,Conference Facilities,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Outdoor pool,Parking,Sauna,Blackout Curtains,Catalan,Couples Massage,Fitness / Spa Locker Rooms,Foot Massage,French,24-Hour Front Desk,Full Body Massage,Ironing Service,Massage,Baggage Storage,Fireplace,Beach Access",
Eurostars Grand Marina Hotel,,Barcelona,Spain,$170 - $366,4,5.0,291,"Dont go!; Plenty of places in town.; If you want to sleep, avoid this hotel.; Don't worry about the transport.
you can find a lot of taxi and really close public transport; Bus tour leaves from outside hotel, very handy for getting around ","Suites,Free Internet,Wheelchair access,Wifi,Free Wifi,Non-smoking rooms,Pool,Internet,Room service,Restaurant,Bar/Lounge,Spa,Airport transportation,Public Wifi,Dry Cleaning,Meeting rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Outdoor pool,Parking,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Breakfast in the Room,Catalan,English,Complimentary Instant Cofffee,24-Hour Front Desk,Ironing Service,Laptop Safe,Massage,Pool with View,24-Hour Security,Spanish,Sun Terrace,Taxi Service,Breakfast Available,Beach Access",
Hotel SOFIA Barcelona - in the Unbound Collection by Hyatt,,Barcelona,Spain,$209 - $425,4.5,5.0,465,"Very small pool; Not good for families. ; Towels provided by the pool. Use the tour bus or metro.
Lots to see and do.
; Don’t use their laundry service; Bring your own streaming entertainment (the TV doesn't allow streaming).","Room service,Restaurant,Fitness center,Internet,Free Internet,Wifi,Free Wifi,Suites,Wheelchair access,Bar/Lounge,Dry Cleaning,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Multilingual Staff,Airport transportation,Public Wifi,Meeting rooms,Air conditioning,Family Rooms,Accessible rooms,Minibar,Conference Facilities,Non-smoking hotel,Safe,Heated pool,Flatscreen TV,Breakfast Buffet,Poolside Bar,Butler Service,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,Baggage Storage,Blackout Curtains,Breakfast in the Room,Catalan,24-Hour Check-in,Coffee Shop,Doorperson,English,Facial Treatments,French,24-Hour Front Desk,Full Body Massage,Ironing Service,Paid Public Parking On-site,Spanish,Taxi Service,Valet Parking,VIP Room Facilities,Electric vehicle charging station,Body Wrap,Children's Television Networks,Couples Massage,First Aid Kit,Fitness Classes,Fitness / Spa Locker Rooms,Foot Bath,Foot Massage,German,Hand Massage,Head Massage,Highchairs Available,Infirmary,Italian,Makeup Services,Manicure,Massage,Massage Chair,Neck Massage,Newspaper,Outdoor Dining Area,Outdoor Furniture,Pedicure,Personal Trainer,Pool / Beach Towels,Portuguese,Private Check-in / Check-out,Russian,Salon,24-Hour Security,Shoeshine,Snack Bar,Solarium,Soundproof Rooms,Steam Room,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Umbrella,Washing Machine,Beach Access",
Nobu Hotel Barcelona,,Barcelona,Spain,$181 - $320,4,5.0,259,It’s not as convenient to some of the sights however the metro and an abundance of taxis are right outside your hotel.; Avoid this hotel.; Supermarket next door. Plenty of restaurants nearby. Taxi is fast and inexpensive to go downtown.   Uber Eats delivers to the hotel.; Neighborhood is less than desirable. Right across from a major metro station but not much else around. ; No,"Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Spa,Wifi,Public Wifi,Free Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Minibar,Conference Facilities,Safe,Flatscreen TV,Breakfast Buffet,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Bottled Water,Breakfast in the Room,Catalan,Clothes Rack,Coffee / Tea Maker,Doorperson,English,Breakfast Available,Body Wrap,Cable / Satellite TV,Car Hire,Children's Television Networks,Facial Treatments,Fitness / Spa Locker Rooms,Foot Massage,Complimentary Toiletries,French,24-Hour Front Desk,Full Body Massage,Hair Dryer,Head Massage,Highchairs Available,Interconnected room(s) available,Iron,Ironing Service,Italian,Massage,Neck Massage,Newspaper,On-Demand Movies,Parking Garage,Private Bathrooms,Paid Private Parking On-site,Russian,24-Hour Security,Snack Bar,Soundproof Rooms,Spanish,Special Diet Menus,Steam Room,Taxi Service,Telephone,Umbrella,Walk-in Shower,Wardrobe / Closet,Wine / Champagne",
Almanac Barcelona,,Barcelona,Spain,$327 - $561,4.5,5.0,91,"Breakfast is included. Great restaurants nearby. Private guided tour by Carmen was recommended by concierge and she was outstanding!! ; Watch your bags and phone, don’t ask questions if not necessary, research and prepare on your own to tour around.  Ppl here look deceiving.; Use the front desk. Great recommendations and help do all of the bookings. ; Segrada familia is a must but a guided tour is not.; * avoid hotel if gym is important
* breakfast is amazing
* hotel rooftop bar is great and has great service","Family Rooms,Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Airport transportation,Wifi,Public Wifi,Free Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Fitness center,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Blackout Curtains,Breakfast in the Room,Catalan,Doorperson,Ironing Service,Spanish,Kids Activities,Banquet Room,Conference Facilities,Outdoor pool,Breakfast Available,Parking,Sauna,Arabic,Bath / Shower,Bathrobes,Bicycle Rental,Bottled Water,Bridal Suite,Cable / Satellite TV,Car Hire,24-Hour Check-in,Clothes Rack,Coffee Shop,Coffee / Tea Maker,Couples Massage,Desk,English,Extra Long Beds,Facial Treatments,First Aid Kit,Fitness / Spa Locker Rooms,Foot Massage,Complimentary Toiletries,Complimentary Welcome Drink,French,24-Hour Front Desk,Full Body Massage,German,Hair Dryer,Hammam,Hand Massage,Head Massage,Highchairs Available,Interconnected room(s) available,Japanese,Kid-Friendly Buffet,Makeup Services,Manicure,Massage,Neck Massage,Outdoor Dining Area,Outdoor Furniture,Parking Garage,Pedicure,Personal Trainer,Pool / Beach Towels,Pool with View,Portuguese,Private Bathrooms,Paid Private Parking On-site,Paid Private Parking Nearby,Paid Public Parking Nearby,Seating Area,24-Hour Security,Shallow End,Shoeshine,Sofa Bed,Soundproof Rooms,Special Diet Menus,Steam Room,Sun Deck,Sun Terrace,Taxi Service,Telephone,Tile / Marble Floor,Umbrella,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet",
DO Placa Reial powered by Sonder,,Barcelona,Spain,$229 - $474,5,5.0,18,"Crazy Late nights on the Placa made sleep difficult, even while using the white noise generator. The hotel also provides ear plugs!; Whilst I didn’t experience pick pocketing, stay safe around the area. you see a lot of begging from the balcony looking down.; If you want a quiet evening/area this is not the hotel for you; Do not stay at this hotel if you are driving; Langton's is worth visiting for food, atmosphere and downstairs décor. room 3 does not match and lets the place down.","Pool,Internet,Free Internet,Bar/Lounge,Wifi,Free Wifi,Suites,Restaurant,Breakfast included,Non-smoking hotel,Rooftop Pool,Flatscreen TV,Private Balcony,Outdoor pool,Bath / Shower,Catalan,Coffee / Tea Maker,Complimentary Tea,Pool with View,Private Check-in / Check-out,Spanish,Non-smoking rooms,Concierge,Self-Serve Laundry,Sauna,Express Check-in / Check-out,Clothes Rack,Iron,Private Bathrooms,Paid Public Parking Nearby,Seating Area,Sun Loungers / Beach Chairs,Wardrobe / Closet,Beach Access",
Sofitel Barcelona Skipper,,Barcelona,Spain,$253 - $467,4.5,5.0,225,"A sea view balcony is worth the extra spend; If possible, ask for a pool/ sea view room. ; the place is obviously pretending to become best of barcelona’s beach nightclubs so don’t go there if you are looking for quiet and rest.; Check out the cocktail list - they have a great variety and they’ve been very well thought through. ; Excellent rooftop pool deck with ocean view","Pool,Internet,Free Internet,Restaurant,Wifi,Free Wifi,Business center,Room service,Suites,Fitness center,Wheelchair access,Bar/Lounge,Airport transportation,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Minibar,Conference Facilities,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Breakfast in the Room,Catalan,Doorperson,English,Complimentary Instant Cofffee,French,24-Hour Front Desk,Ironing Service,Italian,Parking Garage,Public Wifi,Arabic,Bicycle Rental,Bottled Water,Cable / Satellite TV,Car Hire,24-Hour Check-in,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Electric Kettle,Extra Long Beds,First Aid Kit,Complimentary Toiletries,Free Wifi in the Business Center,Georgian,Hair Dryer,Highchairs Available,Hungarian,Iron,Kids' Meals,Laptop Safe,Newspaper,Outdoor Dining Area,Outdoor Furniture,Pool / Beach Towels,Pool View,Pool with View,Portuguese,Private Bathrooms,Private Check-in / Check-out,Paid Private Parking On-site,Radio,Romanian,Russian,24-Hour Security,Snack Bar,Sofa,Sofa Bed,Soundproof Rooms,Spanish,Special Diet Menus,Strollers,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,Tile / Marble Floor,Ukrainian,Umbrella,Walk-in Shower,Wardrobe / Closet,Wine / Champagne,Beach Access",
Hyatt Regency Barcelona Tower,,Barcelona,Spain,$174 - $288,4,5.0,280,"There’s a parking garage underneath the pool area.; Taxis into town are cheap and convenient. There is a regularly services taxi stand up front; Higher floors give a better view.; Good parking below the hotel, 25 euros/day; Prefere high floors to get views of Barcelona","Room service,Restaurant,Fitness center,Suites,Pool,Internet,Free Internet,Bar/Lounge,Wifi,Free Wifi,Wheelchair access,Spa,Business center,Dry Cleaning,Meeting rooms,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Non-smoking hotel,Safe,Rooftop Bar,Heated pool,Flatscreen TV,Breakfast Buffet,Indoor pool,Butler Service,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Breakfast in the Room,Catalan,English,French,24-Hour Front Desk,Ironing Service,Italian,Parking Garage,Paid Private Parking On-site,Taxi Service,Spanish",
Kimpton Vividora Hotel,,Barcelona,Spain,$275 - $460,5,5.0,156,Book this Hotel if you are thinking of staying in the Gothic District as it is blocks from The Boqueria Market.; Sometimes taxis will not drop you off in front of hotel at peak times as it is predominantly a pedestrian area but no more than 3min walk; Top floor pool area very small and gets crowded. ; Don’t miss out their rooftop bar!; Rooms are small but the excellent service more than make up for it. ,"Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Bar/Lounge,Pets Allowed,Wifi,Free Wifi,Dry Cleaning,Non-smoking rooms,Fitness center,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Outdoor pool,Breakfast Available,Housekeeping,Baggage Storage,Bath / Shower,Bathrobes,Bicycles Available,Blackout Curtains,Bottled Water,Catalan,24-Hour Check-in,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Desk,English,Complimentary Toiletries,French,24-Hour Front Desk,Hair Dryer,24-Hour Security,Restaurant,Airport transportation,Public Wifi,Family Rooms,Babysitting,Flatscreen TV,Parking,Facilities for Disabled Guests,Bicycle Rental,Breakfast in the Room,Cable / Satellite TV,Express Check-in / Check-out,Clothes Rack,Couples Massage,Electric Kettle,Evening Entertainment,Facial Treatments,First Aid Kit,Foot Massage,Complimentary Welcome Drink,Full Body Massage,Hand Massage,Happy Hour,Head Massage,Highchairs Available,Interconnected room(s) available,Iron,Ironing Service,Italian,Kids' Meals,Kid-Friendly Buffet,Landmark View,Massage,Neck Massage,Newspaper,Outdoor Dining Area,Outdoor Furniture,Pool / Beach Towels,Pool with View,Portuguese,Private Bathrooms,Paid Public Parking Nearby,Radio,Russian,Seating Area,Separate Living Room,Shoeshine,Snack Bar,Sofa,Soundproof Rooms,Spanish,Special Diet Menus,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,Ukrainian,Umbrella,VIP Room Facilities,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet,Wine / Champagne,Yoga Classes",
ME Barcelona,,Barcelona,Spain,$393 - $696,5,5.0,164,"Centrally located. Everyone spoke English. ; City centre pool so not huge, maybe get there early if wanting a bed/shade. Great location with everything you need close by; Want to feel like a celebrity? If so, defo stay in this lovely hotel!; If you really want some privacy in the pool, get a room with a private pool. ; Traffic in Barcelona during the day is bad so it is necessary to plan ahead too get to the airport on time.","Suites,Room service,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Free Wifi,Meeting rooms,Non-smoking rooms,Fitness center,Laundry Service,Banquet Room,Air conditioning,Minibar,Safe,Rooftop Terrace,Breakfast Buffet,Outdoor pool,Breakfast Available,Housekeeping,Breakfast in the Room,Catalan,Pool,Internet,Free Internet,Airport transportation,Wifi,Public Wifi,Dry Cleaning,Concierge,Family Rooms,Accessible rooms,Rooftop Bar,Rooftop Pool,Heated pool,Flatscreen TV,Poolside Bar,Butler Service,Parking,Facilities for Disabled Guests,Electric vehicle charging station,Baggage Storage,Bath / Shower,Blackout Curtains,Body Wrap,Bottled Water,Cable / Satellite TV,Car Hire,24-Hour Check-in,Express Check-in / Check-out,Children's Television Networks,Clothes Rack,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,Couples Massage,Currency Exchange,Doorperson,English,Extra Long Beds,Facial Treatments,First Aid Kit,Foot Massage,Complimentary Instant Cofffee,Complimentary Toiletries,Complimentary Welcome Drink,Free Wifi in the Business Center,Free Wired Internet in the Business Center,French,24-Hour Front Desk,Full Body Massage,German,Hair Dryer,Hand Massage,Head Massage,Highchairs Available,Interconnected room(s) available,Iron,Ironing Service,Italian,Landmark View,Laptop Safe,Massage,Neck Massage,On-Demand Movies,Outdoor Dining Area,Outdoor Furniture,Personal Trainer,Pool / Beach Towels,Pool with View,Portuguese,Private Bathrooms,Private Check-in / Check-out,Paid Public Parking Nearby,Paid Public Parking On-site,24-Hour Security,Shallow End,Shoeshine,Soundproof Rooms,Spanish,Special Diet Menus,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,Umbrella,Valet Parking,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet,Wine / Champagne,Yoga Classes",
