Hotel Name,Brand,City,Country,Price Range,TripAdvisor Rating,Star Rating,Total Rooms,Room Tips,Amenities,Main Image URL
Gran Hotel La Florida,,Barcelona,Spain,$200 - $286,4,5.0,70,Get a city view with terrace. Our Mountain View was a car park and roof top; Rent a car; Breakfast is very good and should be availed; Try to get a city view room.; Rooms with stunning view!,"Pool,Restaurant,Room service,Fitness center,Internet,Free Internet,Wifi,Free Wifi,Suites,Wheelchair access,Bar/Lounge,Business center,Spa,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Safe,Heated pool,Flatscreen TV,Breakfast Buffet,Poolside Bar,Private Balcony,Indoor pool,Butler Service,Infinity Pool,Outdoor pool,Parking,Facilities for Disabled Guests,Baggage Storage,Bridal Suite,Catalan,Couples Massage,English,Facial Treatments,French,24-Hour Front Desk,Full Body Massage,Ironing Service,Pool with View,Breakfast Available",
Exe Plaza Catalunya,,Barcelona,Spain,$147 - $280,3.5,5.0,108,"If booking for a Superior Room, ask for the one with a balcony.  ; Ask for the opposite side of the road, very quiet ; ask for a quiet room and they will put you in the back of the hotel, where there is no noise. I was at 803 and it was very quiet!; Rooms in the back is facing west and receive more sunshine in the afternoon.","Internet,Free Internet,Wheelchair access,Free Wifi,Non-smoking rooms,Laundry Service,Air conditioning,Safe,Baggage Storage,Catalan,English,24-Hour Front Desk,Spanish,Bar/Lounge,Pets Allowed,Concierge",
Suite Home Sagrada Familia,,Barcelona,Spain,$286 - $538,4,5.0,15,"We had the first floor at the front of the building - noise was minimal you didnt have to walk up too many steps to get there :); room 2P is the one we stayed in. 2nd floor.; The penthouse AA was ideal for a group of 7 of us.; Avoid this place all together. If not possible, avoid the first floor (""Entresuelo"") at all costs.; Ask for a re-decorated room on a higher floor to avoid the noise!","Internet,Free Internet,Wifi,Free Wifi,Air conditioning,Refrigerator in room,Airport transportation,Non-smoking rooms,Family Rooms,Multilingual Staff,Self-Serve Laundry,Microwave,Non-smoking hotel,Safe,Flatscreen TV,Rooftop Terrace,Private Balcony,Housekeeping,Kids Stay Free,Bath / Shower,Bicycle Rental,Blackout Curtains,Board Games / Puzzles,Bottled Water,Car Hire,Catalan,24-Hour Check-in,Express Check-in / Check-out,Children's Television Networks,Clothes Rack,Coffee / Tea Maker,Complimentary Tea,Dining Area,Dishwasher,Electric Kettle,English,Complimentary Instant Cofffee,Complimentary Welcome Drink,Free Wifi in the Business Center,French,Hair Dryer,Highchairs Available,Iron,Italian,Kitchenware,Landmark View,Mountain View,Outdoor Dining Area,Oven,Pool / Beach Towels,Private Bathrooms,Paid Public Parking Nearby,Russian,24-Hour Security,Secured Parking,Separate Dining Area,Separate Living Room,Sofa,Sofa Bed,Solarium,Soundproof Rooms,Spanish,Stovetop,Strollers,Sun Deck,Sun Terrace,Taxi Service,Umbrella,Vending Machine,Walk-in Shower,Walking Tours,Wardrobe / Closet,Washing Machine",
Fairmont Barcelona Rey Juan Carlos I,,Barcelona,Spain,$206 - $307,4.5,5.0,432,"City facing offers the best views; Great city views, luxurious spa, elaborate fitness center; try their coffee at the lobby, so good; we got a room with a view of the stadium (CAMP NOU); metro, buffet breakfast, family","Internet,Free Internet,Wifi,Free Wifi,Meeting rooms,Spa,Dry Cleaning,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Family Rooms,Multilingual Staff,Pool,Kids Activities,Room service,Wheelchair access,Restaurant,Bar/Lounge,Airport transportation,Public Wifi,Business center,Fitness center,Conference Facilities,Safe,Heated pool,Flatscreen TV,Breakfast Buffet,Poolside Bar,Indoor pool,Butler Service,Adult pool,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Kids Club,Sauna,Baggage Storage,Bath / Shower,Breakfast in the Room,Catalan,Children's Television Networks,Facial Treatments,Fitness Classes,Fitness / Spa Locker Rooms,French,24-Hour Front Desk,Ironing Service,Massage,Spanish,Steam Room,Taxi Service,VIP Room Facilities,Kids pool,Allergy-free Room,Bathrobes,Bicycle Rental,Bidet,Bicycle Tours,Blackout Curtains,Bottled Water,Cable / Satellite TV,24-Hour Check-in,Express Check-in / Check-out,Chinese,Clothes Rack,Desk,Doorperson,Electric Kettle,English,First Aid Kit,Foot Massage,Complimentary Toiletries,Full Body Massage,German,Hair Dryer,Hammam,Hand Massage,Head Massage,Highchairs Available,Indoor Play Area for Children,Interconnected room(s) available,Iron,Kids' Meals,Landmark View,Laptop Safe,Mountain View,Neck Massage,Newspaper,On-Demand Movies,Outdoor Dining Area,Outdoor Furniture,Parking Garage,Patio,Pool / Beach Towels,Pool View,Portuguese,Private Bathrooms,Paid Private Parking On-site,Paid Private Parking Nearby,Paid Public Parking Nearby,Paid Public Parking On-site,Saltwater Pool,Seating Area,24-Hour Security,Secured Parking,Snack Bar,Sofa,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Telephone,Tennis Court Off-site,Tile / Marble Floor,Valet Parking,Wake Up Service / Alarm Clock,Walk-in Shower,Walking Tours,Wardrobe / Closet,Wine / Champagne,Photo Copier / Fax In Business Center,Beach Access",
Hotel Boutique Mirlo Barcelona,,Barcelona,Spain,$269 - $351,5,5.0,16,"Lovely hotel but not super close to the sights. Peaceful, quiet, luxury neighborhood. ; An excellent place for couples. Not a good location for families with small children.; Plan how you're gonna get to the centre (metro, taxi etc) as it's a 1h walk! Taxi from La Rambla was 15 euros.; Must take a taxi to all the barcelona sites but worth it to stay here. Also they call taxi for you so very easy. ; If you like to read, check out the book Shadow of the Wind. This fictional story is set in the home that is now this hotel.","Spa,Free Wifi,Non-smoking rooms,Air conditioning,Safe,Housekeeping,Sauna,Catalan,English,Complimentary Toiletries,Pool,Room service,Restaurant,Bar/Lounge,Poolside Bar,Outdoor pool,Breakfast Available,Air Purifier,Allergy-free Room,Baggage Storage,Bathrobes,Blackout Curtains,Breakfast in the Room,Complimentary Tea,Complimentary Instant Cofffee,24-Hour Front Desk,Hammam,Highchairs Available,Outdoor Dining Area,Outdoor Furniture,Paid Private Parking Nearby,Paid Public Parking Nearby,24-Hour Security,Soundproof Rooms,Steam Room,Sun Deck,Sun Terrace,Sun Umbrellas,Taxi Service,Umbrella,Wine / Champagne",
Majestic Residence,,Barcelona,Spain,$353 - $564,4.5,5.0,28,Don’t book this hotel. You can find better ones with better prices and service; Choose the 1 bedroom or 2 bedroom aprtments; Ask for higher up rooms for less street noise; Clean..great view; Connecting rooms were very nice to spend with family,"Pool,Internet,Suites,Wheelchair access,Kitchenette,Wifi,Free Wifi,Non-smoking rooms,Laundry Service,Air conditioning,Family Rooms,Multilingual Staff,Self-Serve Laundry,Refrigerator in room,Flatscreen TV,Washing Machine,Room service,Free Internet,Restaurant,Bar/Lounge,Spa,Airport transportation,Paid Internet,Dry Cleaning,Business center,Fitness center,Concierge,Microwave,Babysitting,Non-smoking hotel,Safe,Rooftop Terrace,Housekeeping,Baggage Storage,Bath / Shower,Car Hire,Catalan,24-Hour Check-in,Currency Exchange,English,French,24-Hour Front Desk,German,Italian,Spanish",
Sir Victor Hotel,,Barcelona,Spain,$300 - $457,4.5,5.0,79,"Eat at the hotel, you won’t get better food anywhere in Barcelona. ; No restaurants are in front of the hotel or around the hotel, must walk at least 10 mins. ; Avoid any room adjacent to on the ground level due to loud electronic music in dining/club area.

Make sure to check out rooftop pool & bar; 1) Include breakfast in your hotel stay - it is exceptional
2) Take advantage of the spa experience
3) Enjoy the rooftop ; Ask for a suite ... its worth it","Pool,Internet,Free Internet,Free Wifi,Suites,Room service,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Spa,Airport transportation,Wifi,Public Wifi,Meeting rooms,Hot Tub,Non-smoking rooms,Business center,Fitness center,Concierge,Air conditioning,Family Rooms,Multilingual Staff,Smoking rooms available,Minibar,Conference Facilities,Babysitting,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Poolside Bar,Private Balcony,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Baggage Storage,Bridal Suite,Catalan,Couples Massage,Doorperson,English,Facial Treatments,Banquet Room,Accessible rooms,Housekeeping,Sauna,Bath / Shower,Bathrobes,Blackout Curtains,Boating,Body Wrap,Bottled Water,Cable / Satellite TV,Clothes Rack,Coffee / Tea Maker,Complimentary Tea,Desk,Electric Kettle,First Aid Kit,Fitness Classes,Complimentary Instant Cofffee,Complimentary Toiletries,Complimentary Welcome Drink,French,24-Hour Front Desk,Full Body Massage,Hair Dryer,iPod Docking Station,Landmark View,Laptop Safe,Massage,Newspaper,Nightclub / DJ,Outdoor Dining Area,Outdoor Furniture,Parking Garage,Patio,Personal Trainer,Pool / Beach Towels,Pool with View,Private Bathrooms,Paid Private Parking On-site,Paid Public Parking Nearby,Seating Area,Separate Living Room,Shared Lounge / TV Area,Shops,Sofa,Soundproof Rooms,Spanish,Steam Room,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Sun Umbrellas,Taxi Service,Telephone,VIP Room Facilities,Wake Up Service / Alarm Clock,Wardrobe / Closet,Wine / Champagne,Yoga Classes",
Hotel Miramar Barcelona,,Barcelona,Spain,$187 - $330,4,5.0,75,"upgrade to a suite with a large balcony; Good; Just be aware this hotel is high on a hill, the walk up can be challenging.; The hill up to the hotel is very steep, but after the first day and finding your pace, it is bearable and makes you feel fitter.; Great place to eat near to Palau Sant Jordi, fab food and service.","Room service,Internet,Free Internet,Wheelchair access,Wifi,Free Wifi,Pool,Restaurant,Bar/Lounge,Spa,Airport transportation,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Minibar,Conference Facilities,Safe,Heated pool,Flatscreen TV,Breakfast Buffet,Poolside Bar,Private Balcony,Indoor pool,Butler Service,Outdoor pool,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,Breakfast in the Room,Catalan,Couples Massage,English,Facial Treatments,Fitness / Spa Locker Rooms,Foot Massage,French,24-Hour Front Desk,Full Body Massage,Ironing Service,Paid Private Parking On-site,Spanish,Non-smoking hotel,Electric vehicle charging station,Beach Access",
ABaC Hotel,,Barcelona,Spain,$259 - $417,5,5.0,15,Wheelchair users should not stay here.; Top suite room; There probably isn't a bad room.; Try to get a room that overlooks the private garden or a corner room that has three walls of windows.; Suites better than the Penthouse,"Internet,Free Internet,Free Wifi,Suites,Room service,Wheelchair access,Restaurant,Bar/Lounge,Wifi,Public Wifi,Meeting rooms,Hot Tub,Non-smoking rooms,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Non-smoking hotel,Safe,Flatscreen TV,Private Balcony,Parking,Facilities for Disabled Guests,Sauna,Baggage Storage,Breakfast in the Room,English,Facial Treatments,Foot Massage,Heated pool,Adult pool,Breakfast Available,Housekeeping,Electric vehicle charging station,Bath / Shower,Bathrobes,Blackout Curtains,Cable / Satellite TV,Car Hire,Catalan,24-Hour Check-in,Express Check-in / Check-out,Clothes Rack,Desk,Extra Long Beds,Complimentary Toiletries,Free Wifi in the Business Center,French,24-Hour Front Desk,Full Body Massage,Hair Dryer,Hammam,Interconnected room(s) available,iPod Docking Station,Ironing Service,Manicure,Massage,Mountain View,Newspaper,Pedicure,Paid Private Parking On-site,Shallow End,Soundproof Rooms,Spanish,Steam Room,Taxi Service,Telephone,Wardrobe / Closet,Wine / Champagne",
Apartamentos Hesperia Barcelona Fira,,Barcelona,Spain,$105 - $181,4,5.0,52,Don’t stay here stay at the tower; We had a “city view” room; excellent at night with curtains wide open! Airplanes and bridge lights... Very Romantic!; Suites have windows that you can open for fresh air; Get the apartments rather than the hotel; The suite I stayed in across from the Hotel was very quiet. Choose higher floors to gain a better view,"Internet,Free Internet,Wheelchair access,Kitchenette,Wifi,Free Wifi,Shuttle Bus Service,Restaurant,Room service,Dry Cleaning,Meeting rooms,Non-smoking rooms,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Microwave,Refrigerator in room,Conference Facilities,Non-smoking hotel,Safe,Flatscreen TV,Breakfast Buffet,Parking,Complimentary Toiletries,Kids Activities,Bar/Lounge,Spa,Fitness center,Baggage Storage,Bath / Shower,Car Hire,Catalan,Coffee Shop,Currency Exchange,English,French,24-Hour Front Desk,Hair Dryer,Iron,Paid Private Parking On-site,24-Hour Security,Soundproof Rooms,Spanish,Telephone,Wake Up Service / Alarm Clock",
"Cotton House Hotel, Autograph Collection",,Barcelona,Spain,$401 - $594,4.5,5.0,83,"Barcelona is generally easy to get around and I don’t believe having a car is useful.
City Tours are solid.; If you need CAVA is a grocery store is one 2 BLOCKS TO THE RIGHT AND  ONE MORE TO THE RIGHT CARREFOUR EXPRESS/; Book in advance; Don't miss the pool and food & beverage! ; The pool is small, but refreshing. Well stocked mini bar and fridge for pay. Great shower pressure! Fun rooftop bar next door.","Wheelchair access,Restaurant,Fitness center,Pool,Internet,Suites,Room service,Free Internet,Bar/Lounge,Spa,Wifi,Public Wifi,Paid Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Laundry Service,Concierge,Air conditioning,Family Rooms,Multilingual Staff,Minibar,Non-smoking hotel,Safe,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Private Balcony,Outdoor pool,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Catalan,Doorperson,English,French,24-Hour Front Desk,Ironing Service,Massage,24-Hour Security,Spanish,Sun Terrace,Taxi Service,VIP Room Facilities,Breakfast Available,Car Hire",
Hotel Bagues,,Barcelona,Spain,$236 - $380,4.5,5.0,31,"Just book it here! ; Do not stay on lower floor; The swimming pool is actually a very small unheated dipping that closes at 20:00 (8 pm). ; Do not pay in advance because they might give you the wrong room and if you have already paid they will not compensate you.; Get the aerobus from the airport- takes you right into the centre of Barcelona and it's a short walk to Las Ramblas
Cost about 6/7 Euros
","Internet,Suites,Free Internet,Free Wifi,Pool,Room service,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Spa,Airport transportation,Wifi,Public Wifi,Dry Cleaning,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Minibar,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Breakfast in the Room,Catalan,Doorperson,English,Complimentary Instant Cofffee,24-Hour Front Desk,Hot Tub,Beach Access",
Renaissance Barcelona Hotel,,Barcelona,Spain,$272 - $441,4,5.0,211,"Great for walking, shopping and dining.  The bar is the best along with the rooftop bar GOJA; TV’s are not easy to cast to from Apple devices. HDMI port in back of TV.; Avoid at all costs if you want quiet room.; The pool is small great for little kids) but we did not end up using given how much there is to do in Barcelona!; Breakfast is great at the hotel, don't pass it up. Then get out and explore","Restaurant,Room service,Fitness center,Bar/Lounge,Meeting rooms,Internet,Wheelchair access,Wifi,Paid Wifi,Paid Internet,Laundry Service,Concierge,Suites,Public Wifi,Dry Cleaning,Non-smoking rooms,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Non-smoking hotel,Safe,Rooftop Bar,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Parking,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Bath / Shower,Blackout Curtains,Breakfast in the Room,Catalan,Doorperson,English,Complimentary Instant Cofffee,Complimentary Toiletries,French,24-Hour Front Desk,Hair Dryer,Ironing Service,24-Hour Security,Taxi Service,Outdoor pool,Breakfast Available,Bicycle Rental,Car Hire,Massage,Plunge Pool,Spanish",
Monument Hotel,,Barcelona,Spain,$354 - $581,4.5,5.0,84,$5-8 taxi rides to further out attractions for those who don’t like walking ( we enjoyed walking instead). Pool area is small but cute; A must book!; The roof top bar gets crowded get there early; Great central location; Ensure you enjoy the restaurants within the hotel.  Breakfast at the roof top barn is a must.  ,"Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Spa,Airport transportation,Wifi,Public Wifi,Free Wifi,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Non-smoking hotel,Safe,Flatscreen TV,Private Balcony,Butler Service,Parking,Facilities for Disabled Guests,Allergy-free Room,Baggage Storage,Bathrobes,Breakfast in the Room,Catalan,Doorperson,English,Fitness / Spa Locker Rooms,French,24-Hour Front Desk,Ironing Service,Private Check-in / Check-out,24-Hour Security,Soundproof Rooms,Spanish,Special Diet Menus,Telephone",
Wittmore Hotel,,Barcelona,Spain,$350 - $497,5,5.0,22,"Vehicle access to the hotel is very limited by the narrow streets so be prepared to have to walk a bit.

Plenty of great restaurants near by; Double-check the information you are given at the front desk, we found at times it was not accurate; It can be difficult for taxi drivers to find the hotel. Have an address ready for them, or ask the hotel to pick you up nearby via walking.; Don't miss out the welcome drink & the goodies in the mini bar. ; The bedroom was a good size, quiet and had shutters over the windows so you will get a fantastic night's sleep.","Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Airport transportation,Wifi,Free Wifi,Dry Cleaning,Non-smoking rooms,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Flatscreen TV,Rooftop Terrace,Poolside Bar,Outdoor pool,Breakfast Available,Housekeeping,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Board Games / Puzzles,Bottled Water,Bridal Suite,Catalan,English,French,Ironing Service,Italian,Laptop Safe,Facilities for Disabled Guests,Adults Only,Allergy-free Room,Breakfast in the Room,Cable / Satellite TV,Car Hire,24-Hour Check-in,Express Check-in / Check-out,Clothes Rack,Coffee Shop,Desk,Doorperson,Extra Long Beds,First Aid Kit,Complimentary Toiletries,Complimentary Welcome Drink,24-Hour Front Desk,German,Hair Dryer,Interconnected room(s) available,Newspaper,Outdoor Dining Area,Patio,Pool / Beach Towels,Pool with View,Private Bathrooms,Private Check-in / Check-out,Paid Public Parking Nearby,Radio,Shallow End,Sofa,Solarium,Soundproof Rooms,Spanish,Sun Deck,Sun Loungers / Beach Chairs,Sun Terrace,Telephone,Umbrella,Wake Up Service / Alarm Clock,Walk-in Shower,Walking Tours,Wardrobe / Closet,Wine / Champagne,Beach Access",
"Mandarin Oriental, Barcelona",,Barcelona,Spain,"$678 - $1,014",4.5,5.0,120,"Get a room that faces the back with a terrace. It's wonderful to sit out and you'll feel like a local.; Do not take a room facing the street; This hotel is in a central location for many great restaurants. The street outside, however, is very busy.; Nothing to avoid regarding the hotel. Just be very careful whilst crossing the street. Even in front of the hotel is a side street; Expensive but worth it.","Fitness center,Pool,Restaurant,Internet,Suites,Room service,Wifi,Paid Wifi,Wheelchair access,Spa,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Family Rooms,Bar/Lounge,Airport transportation,Public Wifi,Laundry Service,Concierge,Banquet Room,Air conditioning,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Non-smoking hotel,Safe,Rooftop Bar,Rooftop Pool,Heated pool,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Poolside Bar,Private Balcony,Indoor pool,Butler Service,Outdoor pool,Parking,Facilities for Disabled Guests,Housekeeping,Blackout Curtains,Breakfast in the Room,Catalan,Couples Massage,Doorperson,English,Facial Treatments,Fitness / Spa Locker Rooms,Foot Massage,French,24-Hour Front Desk,Full Body Massage,Ironing Service,Kids Activities,Free Internet,Breakfast Available,Car Hire,Currency Exchange",
Hotel Neri Relais & Chateaux,,Barcelona,Spain,$380 - $572,4.5,5.0,22,"Arrange airport transportation with the hotel.; Base rooms just fine. We had a base and a room with a balcony but too hot to use it!; Get to know the staff, they make your stay memorable. ; If you are early at breakfast, you can get a table with a good view of the square. A dinner at the restaurant is highly recommended; Ask the hotel to book transfers due to hotel access.","Restaurant,Internet,Room service,Free Internet,Wifi,Free Wifi,Bar/Lounge,Suites,Airport transportation,Public Wifi,Dry Cleaning,Non-smoking rooms,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Accessible rooms,Minibar,Non-smoking hotel,Safe,Rooftop Bar,Flatscreen TV,Rooftop Terrace,Breakfast Buffet,Private Balcony,Breakfast Available,Housekeeping,Allergy-free Room,Baggage Storage,Bath / Shower,Bathrobes,Blackout Curtains,Bottled Water,Breakfast in the Room,Catalan,Coffee Shop,Coffee / Tea Maker,Complimentary Tea,English,Complimentary Instant Cofffee,French,24-Hour Front Desk,Italian,24-Hour Security,Special Diet Menus,Taxi Service,Wheelchair access,Outdoor pool,Cable / Satellite TV,24-Hour Check-in,Express Check-in / Check-out,Clothes Rack,Desk,Doorperson,Extra Long Beds,Complimentary Toiletries,Complimentary Welcome Drink,German,Hair Dryer,Interconnected room(s) available,Iron,Ironing Service,Landmark View,Macedonian,Massage,Plunge Pool,Private Bathrooms,Private Check-in / Check-out,Paid Public Parking Nearby,Russian,Soundproof Rooms,Spanish,Sun Deck,Sun Terrace,Swedish,Telephone,Wake Up Service / Alarm Clock,Wardrobe / Closet,Wine / Champagne,Beach Access",
Ocean Drive Barcelona,,Barcelona,Spain,$217 - $399,4.5,5.0,98,"Be careful when opening the door of your taxi — the left side opens into an active bike lane and the right side opens into traffic!; Location cannot be beat, walking distance to many good restaurants, train stations, historical sites.; Avoid the Metro. Be constantly aware of your personal belongings and surroundings. Don’t take designer handbags or expensive jewellery.; Taxi from airport should cost around 35€ and takes around 30 minutes or purchase a travel card for discounted travel on public transport; Location is Really Good for touring about in Barcelona","Pool,Internet,Suites,Room service,Free Internet,Wheelchair access,Restaurant,Bar/Lounge,Pets Allowed,Airport transportation,Wifi,Free Wifi,Dry Cleaning,Non-smoking rooms,Laundry Service,Concierge,Air conditioning,Multilingual Staff,Minibar,Non-smoking hotel,Rooftop Pool,Flatscreen TV,Breakfast Buffet,Outdoor pool,Breakfast Available,Parking,Facilities for Disabled Guests,Housekeeping,Baggage Storage,Breakfast in the Room,Bridal Suite,Catalan,English,Complimentary Instant Cofffee,French,24-Hour Front Desk,Ironing Service,Paid Private Parking On-site,Spanish,Taxi Service,Family Rooms,Safe,Car Hire,German,Italian,Newspaper,Portuguese,Snack Bar,Soundproof Rooms,Sun Terrace,Sun Umbrellas,VIP Room Facilities",
Sonder Paseo de Gracia,,Barcelona,Spain,$186 - $358,4,5.0,70,"Well, there are way better solutions than this one with the same price range; The restaurant is a must-try!
Great service and very accommodating. ; Use the Sonder app to get the best deals 😍; Download the sonder app for check in beforehand; Aerobús from airport is 10 euro round trip drops off 5 minute walk to hotel. Grocery around the corner next to a lovely cafe.","Internet,Free Internet,Wifi,Suites,Air conditioning,Non-smoking hotel,Flatscreen TV,Bath / Shower,Coffee / Tea Maker,Paid Public Parking Nearby,Fitness center,Non-smoking rooms,Laundry Service,Concierge,Multilingual Staff,Accessible rooms,Breakfast Available,Housekeeping,Cable / Satellite TV,Catalan,Complimentary Tea,Desk,Complimentary Instant Cofffee,Complimentary Toiletries,French,24-Hour Front Desk,Hair Dryer,Private Bathrooms,Spanish,Sun Terrace",
